2024-07-08|47|70|44|56|46|55|54|63|55|73|56|69|54|64|50|64|36654|538350|572867
2024-07-09|50|62|47|64|51|65|58|79|58|70|61|76|60|74|55|69|36373|533072|567372
2024-07-10|48|70|46|56|49|66|58|72|58|74|59|71|58|66|54|64|36941|534069|568836
2024-07-11|69|60|57|62|48|65|56|77|57|77|58|78|56|66|52|69|37195|539576|574632
2024-07-12|48|60|49|72|47|62|54|71|55|75|56|70|54|68|51|68|36904|538002|572741
2024-07-13|48|60|45|57|46|64|53|74|55|80|55|66|54|65|50|75|35367|535367|568574
2024-07-14|45|60|44|65|51|63|58|73|60|79|58|77|58|78|55|75|34144|542064|573685
2024-07-15|49|70|46|57|47|70|56|67|57|69|57|73|57|72|52|67|36889|536345|571054
2024-07-16|48|59|48|59|50|70|56|74|57|68|57|76|57|67|54|75|36667|539779|574267
2024-07-17|67|60|64|65|48|62|57|77|58|81|59|71|58|80|54|66|36840|538801|573389
2024-07-18|48|60|48|59|48|60|58|79|58|70|57|68|57|69|53|65|36626|542278|576825
2024-07-19|50|65|51|68|49|62|59|74|59|76|59|76|60|79|54|65|36533|541791|576186
2024-07-20|46|59|47|59|48|57|55|67|56|76|56|77|56|75|50|68|35383|547642|580754
2024-07-21|48|62|48|58|48|63|56|73|56|71|57|72|57|72|52|64|34353|546308|578401
2024-07-22|72|70|70|73|52|74|60|74|60|73|63|85|60|79|56|72|37561|559060|594384
2024-07-23|76|70|80|75|52|68|62|76|60|83|61|76|61|74|57|69|40470|552149|590434
2024-07-24|47|61|47|58|51|65|58|83|60|81|60|82|58|69|55|65|36255|547885|582169
2024-07-25|48|60|49|64|51|61|59|73|60|77|59|73|60|72|55|72|34281|551081|583321
2024-07-26|51|59|47|59|50|66|60|70|59|76|60|88|60|75|55|73|35751|544005|577808
2024-07-27|53|64|51|61|49|62|57|68|58|79|58|70|57|74|53|72|34750|552066|584698
2024-07-28|45|60|49|60|50|66|57|76|60|70|60|76|59|67|54|80|34136|551852|583954
2024-07-29|48|60|49|61|51|69|59|68|60|71|61|81|60|86|54|74|36232|545981|580256
2024-07-30|46|60|46|60|51|65|59|77|60|82|60|71|60|70|56|73|35989|545495|579521
2024-07-31|52|62|49|58|51|69|59|80|58|72|60|82|60|81|55|82|36203|548178|582462
2024-08-01|55|65|49|62|48|59|57|70|57|70|57|77|58|81|53|66|37478|548157|583697
2024-08-02|52|68|50|63|47|64|55|73|55|74|56|80|56|76|52|68|37258|548185|583339
2024-08-03|54|64|52|68|46|58|56|71|56|71|55|72|56|71|52|66|35347|554625|587852
2024-08-04|53|63|53|63|49|65|57|67|58|82|58|68|57|68|52|75|34721|554652|587201
2024-08-05|52|63|51|63|51|70|59|73|60|80|60|69|59|76|56|74|36741|550336|585126
2024-08-06|62|68|61|68|49|63|56|68|58|75|58|71|56|71|53|63|37346|548335|583900
2024-08-07|54|59|56|59|47|64|54|70|55|66|55|70|54|68|51|69|35579|541973|575840
2024-08-08|51|52|49|48|38|46|43|52|44|51|44|51|43|49|40|51|34936|495680|528951
