2024-07-09|72.7248|70.0592|65.3676|78.6723|74.8299|26.2838
2024-07-10|72.9556|69.973|66.95|79.6088|75.189|27.5738
2024-07-11|76.3439|69.1122|68.0856|79.8093|73.9811|27.2933
2024-07-12|73.1079|70.4328|67.5271|77.7942|74.5198|28.0785
2024-07-13|73.1343|68.5892|61.8304|77.3602|74.5198|26.1155
2024-07-14|73.3492|68.9441|62.2307|77.8855|72.5119|26.7886
2024-07-15|73.1999|69.6928|64.0644|78.6165|74.03|28.3029
2024-07-16|73.67|70.3998|64.837|79.4286|76.6255|27.742
2024-07-17|73.3887|69.1036|68.0112|78.8829|75.4176|27.2933
2024-07-18|73.7746|69.3192|62.6402|79.3829|74.9768|28.3029
2024-07-19|73.7904|68.5604|63.5338|79.6697|75.3849|27.2933
2024-07-20|73.7811|68.3765|63.1243|79.4869|75.189|27.2372
2024-07-21|73.644|68.0934|64.4461|79.1139|74.0137|27.0129
2024-07-22|73.76|69.3594|63.8224|81.4589|77.1969|27.6859
2024-07-23|74.8943|70.7949|64.716|82.2202|76.5113|27.9103
2024-07-24|74.5727|70.5219|63.9527|81.8675|76.5439|26.9007
2024-07-25|74.3834|70.3739|65.1535|81.3954|75.5808|27.3494
2024-07-26|74.3822|69.8997|63.7852|80.997|76.8867|27.3494
2024-07-27|74.495|70.2561|63.8131|80.3371|75.1074|26.9007
2024-07-28|74.3853|69.8623|64.1761|80.1772|73.7689|26.0034
2024-07-29|74.7048|70.3035|66.4101|80.3143|76.0868|26.7325
2024-07-30|74.5035|69.8767|63.1615|80.1696|76.0052|28.4711
2024-07-31|74.5873|69.3896|69.5936|80.4996|76.3154|27.2372
2024-08-01|74.4957|68.6854|64.9301|81.5249|76.2827|28.6394
2024-08-02|74.7594|69.0749|66.2798|80.2635|77.3438|28.1907
2024-08-03|74.9125|68.9872|65.6748|80.0021|76.5439|27.2372
2024-08-04|74.7827|69.174|65.5072|79.9057|75.0421|26.7886
2024-08-05|75.1506|69.8192|66.2612|80.6493|77.3928|26.396
2024-08-06|75.4362|68.684|66.4194|80.6036|77.2785|26.396
2024-08-07|75.7438|67.6163|72.926|81.5883|76.8214|25.2182
2024-08-08|76.3533|67.7571|69.8728|80.3498|76.5929|25.779
2024-08-09|72.6088|63.9937|62.2214|79.3423|75.1727|24.2086
